customer_id,gender,age,city,signup_date,loyalty_member,age_group
C0264,Male,43,London,2022-02-16,Yes,Middle-Aged
C0265,Female,31,Birmingham,2022-07-29,No,Adult
C0266,Female,25,London,2022-10-24,No,"Young Adult"
C0267,Male,26,Sheffield,2023-03-17,Yes,"Young Adult"
C0268,Female,22,Sheffield,2023-05-28,Yes,"Young Adult"
C0269,Male,47,Manchester,2023-03-23,No,Middle-Aged
C0270,Female,54,Sheffield,2023-08-13,No,Middle-Aged
C0271,Male,43,London,2022-10-24,No,Middle-Aged
C0272,Female,62,Bristol,2022-06-25,Yes,Senior
C0273,Male,33,Sheffield,2023-03-24,No,Adult
C0274,Male,43,Liverpool,2023-06-21,No,Middle-Aged
C0275,Female,28,Manchester,2022-08-15,Yes,"Young Adult"
C0276,Male,40,Bristol,2023-06-28,Yes,Middle-Aged
C0277,Male,27,Liverpool,2022-08-30,Yes,"Young Adult"
C0278,Male,59,Manchester,2022-06-27,Yes,Middle-Aged
C0279,Female,47,Nottingham,2023-10-06,No,Middle-Aged
C0280,Female,27,Nottingham,2023-10-05,Yes,"Young Adult"
C0281,Female,58,Liverpool,2023-04-26,No,Middle-Aged
C0282,Male,40,Manchester,2023-08-29,No,Middle-Aged
C0283,Female,20,London,2023-04-18,No,"Young Adult"
C0284,Male,59,Manchester,2022-10-21,No,Middle-Aged
C0285,Male,46,Leeds,2023-04-19,No,Middle-Aged
C0286,Female,50,Birmingham,2023-09-12,Yes,Middle-Aged
C0287,Male,39,Manchester,2023-04-07,Yes,Adult
C0288,Male,63,Nottingham,2022-02-10,No,Senior
C0289,Male,41,Bristol,2023-06-21,No,Middle-Aged
C0290,Female,39,London,2023-02-01,No,Adult
C0291,Female,24,Sheffield,2022-03-09,No,"Young Adult"
C0292,Male,39,Manchester,2022-09-16,Yes,Adult
C0293,Female,59,Sheffield,2022-12-25,Yes,Middle-Aged
C0294,Male,37,Sheffield,2023-09-02,No,Adult
C0295,Male,59,Sheffield,2022-05-11,No,Middle-Aged
C0296,Female,37,Birmingham,2022-01-19,Yes,Adult
C0297,Female,30,Leeds,2022-12-16,Yes,Adult
C0298,Male,36,Manchester,2022-06-08,Yes,Adult
C0299,Female,57,Birmingham,2023-11-09,No,Middle-Aged
C0300,Male,29,Birmingham,2022-06-07,No,"Young Adult"
C0301,Female,41,Leeds,2022-02-14,No,Middle-Aged
C0302,Female,65,Nottingham,2023-09-18,Yes,Senior
C0303,Male,37,Nottingham,2023-07-01,Yes,Adult
C0304,Female,47,Liverpool,2023-01-12,No,Middle-Aged
C0305,Female,28,Leeds,2023-05-30,Yes,"Young Adult"
C0306,Male,59,Nottingham,2022-09-14,No,Middle-Aged
C0307,Male,63,Manchester,2023-07-22,No,Senior
C0308,Male,35,Nottingham,2022-03-27,Yes,Adult
C0309,Male,32,Nottingham,2023-03-24,No,Adult
C0310,Female,21,Sheffield,2022-01-28,No,"Young Adult"
C0311,Female,23,Bristol,2022-08-30,Yes,"Young Adult"
C0312,Female,24,Bristol,2022-01-29,Yes,"Young Adult"
C0313,Male,36,Nottingham,2022-05-21,Yes,Adult
C0314,Female,57,London,2023-04-26,Yes,Middle-Aged
C0315,Female,31,Birmingham,2022-01-20,No,Adult
C0316,Female,33,Liverpool,2022-04-24,Yes,Adult
C0317,Male,44,Nottingham,2022-02-18,Yes,Middle-Aged
C0318,Female,56,London,2022-04-24,Yes,Middle-Aged
C0319,Female,45,London,2022-05-28,No,Middle-Aged
C0320,Female,29,Manchester,2022-09-04,No,"Young Adult"
C0321,Male,42,Nottingham,2022-03-11,Yes,Middle-Aged
C0322,Female,41,Liverpool,2023-10-13,Yes,Middle-Aged
C0323,Male,40,Leeds,2023-01-01,Yes,Middle-Aged
C0324,Female,26,London,2023-08-19,No,"Young Adult"
C0325,Female,59,Birmingham,2023-07-14,No,Middle-Aged
C0326,Male,26,Manchester,2023-05-06,No,"Young Adult"
C0327,Female,30,London,2022-02-07,Yes,Adult
C0328,Female,37,Sheffield,2022-02-12,No,Adult
C0329,Male,59,Leeds,2022-09-17,No,Middle-Aged
C0330,Male,59,Bristol,2023-01-01,No,Middle-Aged
C0331,Female,45,Sheffield,2022-05-08,No,Middle-Aged
C0332,Female,29,Nottingham,2023-01-31,No,"Young Adult"
C0333,Female,23,Sheffield,2023-01-12,Yes,"Young Adult"
C0334,Male,52,Liverpool,2023-03-17,No,Middle-Aged
C0335,Male,38,Liverpool,2022-04-16,No,Adult
C0336,Female,28,Nottingham,2023-04-02,No,"Young Adult"
C0337,Male,64,Bristol,2023-04-03,No,Senior
C0338,Male,22,Sheffield,2022-10-09,No,"Young Adult"
C0339,Male,19,Birmingham,2023-06-10,No,Teenager
C0340,Male,22,Leeds,2022-02-05,No,"Young Adult"
C0341,Female,54,London,2023-01-06,Yes,Middle-Aged
C0342,Female,41,Bristol,2023-11-27,No,Middle-Aged
C0343,Male,51,Bristol,2022-03-20,No,Middle-Aged
C0344,Female,33,Manchester,2022-11-18,Yes,Adult
C0345,Female,51,Sheffield,2022-07-10,Yes,Middle-Aged
C0346,Female,63,Nottingham,2022-09-26,Yes,Senior
C0347,Female,62,Nottingham,2023-09-19,Yes,Senior
C0348,Male,22,Nottingham,2022-05-06,Yes,"Young Adult"
C0349,Male,61,Bristol,2023-04-01,No,Senior
C0350,Female,37,Birmingham,2022-03-08,Yes,Adult
C0351,Male,25,Leeds,2023-01-06,Yes,"Young Adult"
C0352,Female,19,Bristol,2022-08-31,No,Teenager
C0353,Male,57,Manchester,2023-04-24,Yes,Middle-Aged
C0354,Female,63,Nottingham,2022-11-13,No,Senior
C0355,Male,26,Bristol,2023-02-24,Yes,"Young Adult"
C0356,Female,61,Bristol,2023-04-06,Yes,Senior
C0357,Male,26,Sheffield,2023-07-19,Yes,"Young Adult"
C0358,Male,37,Birmingham,2022-05-08,Yes,Adult
C0359,Male,40,Liverpool,2022-11-27,Yes,Middle-Aged
C0360,Male,58,Liverpool,2022-09-14,Yes,Middle-Aged
C0361,Female,57,Manchester,2023-10-03,Yes,Middle-Aged
C0362,Male,28,Bristol,2023-08-30,Yes,"Young Adult"
C0363,Male,20,Liverpool,2022-01-30,Yes,"Young Adult"
C0364,Female,57,London,2023-08-09,No,Middle-Aged
C0365,Female,59,Liverpool,2023-10-05,No,Middle-Aged
C0366,Female,37,Nottingham,2022-09-08,Yes,Adult
C0367,Male,46,Sheffield,2022-03-03,No,Middle-Aged
C0368,Male,39,Birmingham,2023-04-21,No,Adult
C0369,Female,43,Birmingham,2022-11-23,No,Middle-Aged
C0370,Male,38,Leeds,2023-06-12,No,Adult
C0371,Female,46,Leeds,2022-05-06,Yes,Middle-Aged
C0372,Male,36,Sheffield,2022-04-10,No,Adult
C0373,Male,38,Bristol,2022-09-12,Yes,Adult
C0374,Female,50,Nottingham,2022-06-13,No,Middle-Aged
C0375,Female,19,Manchester,2022-11-12,No,Teenager
C0376,Female,33,Leeds,2023-06-02,No,Adult
C0377,Male,36,Nottingham,2022-02-19,No,Adult
C0378,Male,24,Sheffield,2022-10-20,Yes,"Young Adult"
C0379,Female,43,Bristol,2022-09-28,Yes,Middle-Aged
C0380,Male,54,Leeds,2023-02-15,No,Middle-Aged
C0381,Female,22,Sheffield,2023-07-21,No,"Young Adult"
C0382,Female,57,Manchester,2023-07-18,Yes,Middle-Aged
C0383,Female,41,Bristol,2022-04-10,No,Middle-Aged
C0384,Male,56,Sheffield,2022-05-28,Yes,Middle-Aged
C0385,Male,26,Bristol,2022-02-16,No,"Young Adult"
C0386,Female,27,Birmingham,2023-06-16,No,"Young Adult"
C0387,Female,28,Sheffield,2023-09-20,No,"Young Adult"
C0388,Female,50,Nottingham,2023-08-31,No,Middle-Aged
C0389,Male,41,Bristol,2023-05-02,Yes,Middle-Aged
C0390,Female,64,London,2023-03-03,No,Senior
C0391,Male,64,London,2022-09-29,No,Senior
C0392,Female,27,Leeds,2022-06-24,Yes,"Young Adult"
C0393,Male,30,London,2023-08-10,No,Adult
C0394,Female,27,Sheffield,2022-11-18,Yes,"Young Adult"
C0395,Female,65,London,2023-02-25,Yes,Senior
C0396,Male,53,Bristol,2023-06-16,No,Middle-Aged
C0397,Female,38,Birmingham,2023-06-23,No,Adult
C0398,Female,52,Bristol,2023-06-30,No,Middle-Aged
C0399,Female,30,Leeds,2023-09-17,No,Adult
C0400,Female,32,Liverpool,2023-07-26,No,Adult
C0401,Female,38,Nottingham,2022-08-01,No,Adult
C0402,Female,36,Manchester,2023-07-28,No,Adult
C0403,Female,27,Liverpool,2023-02-09,Yes,"Young Adult"
C0404,Male,40,Nottingham,2022-10-22,No,Middle-Aged
C0405,Male,30,Liverpool,2023-05-06,No,Adult
C0406,Male,57,Leeds,2022-05-21,Yes,Middle-Aged
C0407,Male,58,Leeds,2022-02-21,Yes,Middle-Aged
C0408,Female,39,Nottingham,2022-04-13,Yes,Adult
C0409,Male,18,Birmingham,2023-11-29,No,Teenager
C0410,Female,48,Leeds,2023-10-31,No,Middle-Aged
C0411,Female,59,London,2022-11-25,Yes,Middle-Aged
C0412,Male,52,London,2023-10-30,Yes,Middle-Aged
C0413,Male,20,Sheffield,2023-03-04,No,"Young Adult"
C0414,Female,20,London,2022-07-10,No,"Young Adult"
C0415,Male,39,Liverpool,2023-08-05,No,Adult
C0416,Female,26,Nottingham,2023-10-19,No,"Young Adult"
C0417,Male,39,Birmingham,2022-07-17,No,Adult
C0418,Female,63,Birmingham,2023-10-26,Yes,Senior
C0419,Female,54,Leeds,2022-12-12,Yes,Middle-Aged
C0420,Female,45,Bristol,2023-09-18,Yes,Middle-Aged
C0421,Male,29,Birmingham,2023-02-15,No,"Young Adult"
C0422,Male,18,Liverpool,2022-11-28,No,Teenager
C0423,Female,35,Bristol,2022-08-30,No,Adult
C0424,Male,34,Bristol,2023-08-20,Yes,Adult
C0425,Male,47,Liverpool,2022-03-05,Yes,Middle-Aged
C0426,Female,62,Manchester,2023-02-20,No,Senior
C0427,Male,32,Birmingham,2023-01-12,No,Adult
C0428,Female,65,Bristol,2022-06-06,No,Senior
C0429,Female,52,Leeds,2023-07-17,Yes,Middle-Aged
C0430,Male,51,Nottingham,2023-11-28,No,Middle-Aged
C0431,Male,21,Leeds,2022-03-21,Yes,"Young Adult"
C0432,Female,51,Nottingham,2022-06-18,Yes,Middle-Aged
C0433,Male,63,Nottingham,2023-11-28,Yes,Senior
C0434,Female,21,Nottingham,2023-06-07,Yes,"Young Adult"
C0435,Female,47,London,2023-06-10,No,Middle-Aged
C0436,Female,64,London,2023-11-20,No,Senior
C0437,Male,65,Leeds,2022-09-18,Yes,Senior
C0438,Female,40,Manchester,2022-02-16,Yes,Middle-Aged
C0439,Female,20,Liverpool,2022-03-12,No,"Young Adult"
C0440,Male,59,Sheffield,2022-07-04,No,Middle-Aged
C0441,Female,42,Sheffield,2023-01-27,Yes,Middle-Aged
C0442,Male,59,Bristol,2023-12-01,Yes,Middle-Aged
C0443,Female,51,Birmingham,2022-07-02,Yes,Middle-Aged
C0444,Male,37,Nottingham,2022-01-04,No,Adult
C0445,Female,32,Leeds,2023-06-29,No,Adult
C0446,Male,35,Leeds,2022-12-21,Yes,Adult
C0447,Female,57,London,2022-02-02,Yes,Middle-Aged
C0448,Male,24,London,2022-07-31,No,"Young Adult"
C0449,Male,33,London,2023-09-05,No,Adult
C0450,Male,52,Leeds,2023-03-26,Yes,Middle-Aged
C0451,Female,32,Bristol,2022-05-24,No,Adult
C0452,Female,27,Leeds,2022-08-31,No,"Young Adult"
C0453,Female,21,Birmingham,2022-11-04,No,"Young Adult"
C0454,Female,21,Bristol,2023-07-24,No,"Young Adult"
C0455,Female,62,Sheffield,2023-06-22,No,Senior
